DESIGNATION_ID,DESIGNATION_NAME,
135738,school designation #30,1
137054,school designation #346,1
138164,school designation #599,1
132430,school designation #1,1
135613,school designation #2,1
135614,school designation #3,1
135616,school designation #4,1
135661,school designation #5,1
135664,school designation #6,1
135665,school designation #7,1
135666,school designation #8,1
135671,school designation #9,1
135673,school designation #10,1
135674,school designation #11,1
135675,school designation #12,1
135680,school designation #13,1
135685,school designation #14,1
135687,school designation #15,1
135690,school designation #16,1
135691,school designation #17,1
135698,school designation #18,1
135699,school designation #19,1
135700,school designation #20,1
135703,school designation #21,1
135710,school designation #22,1
135712,school designation #23,1
135715,school designation #24,1
135718,school designation #25,1
135724,school designation #26,1
135728,school designation #27,1
135729,school designation #28,1
135731,school designation #29,1
135741,school designation #32,1
135742,school designation #33,1
135743,school designation #34,1
135747,school designation #35,1
135748,school designation #36,1
135749,school designation #37,1
135753,school designation #38,1
135755,school designation #39,1
135759,school designation #40,1
135766,school designation #41,1
135767,school designation #42,1
135768,school designation #43,1
135770,school designation #44,1
135772,school designation #45,1
135774,school designation #46,1
135780,school designation #47,1
135781,school designation #48,1
135782,school designation #49,1
135783,school designation #50,1
135785,school designation #51,1
135786,school designation #52,1
135787,school designation #53,1
135790,school designation #54,1
135791,school designation #55,1
135795,school designation #56,1
135801,school designation #57,1
135803,school designation #58,1
135810,school designation #59,1
135819,school designation #60,1
135820,school designation #61,1
135821,school designation #62,1
135823,school designation #63,1
135827,school designation #64,1
135829,school designation #65,1
135830,school designation #66,1
135832,school designation #67,1
135839,school designation #68,1
135845,school designation #69,1
135851,school designation #70,1
135852,school designation #71,1
135857,school designation #72,1
135858,school designation #73,1
135863,school designation #74,1
135865,school designation #75,1
135866,school designation #76,1
135868,school designation #77,1
135869,school designation #78,1
135870,school designation #79,1
135871,school designation #80,1
135872,school designation #81,1
135880,school designation #82,1
135883,school designation #83,1
135888,school designation #84,1
135894,school designation #85,1
135913,school designation #86,1
135918,school designation #87,1
135926,school designation #88,1
135928,school designation #89,1
135929,school designation #90,1
135933,school designation #91,1
135939,school designation #92,1
135943,school designation #93,1
135944,school designation #94,1
135954,school designation #95,1
135959,school designation #96,1
135967,school designation #97,1
135968,school designation #98,1
135974,school designation #99,1
135976,school designation #100,1
135981,school designation #101,1
135995,school designation #102,1
135996,school designation #103,1
135999,school designation #104,1
136000,school designation #105,1
136003,school designation #106,1
136007,school designation #107,1
136010,school designation #108,1
136011,school designation #109,1
136014,school designation #110,1
136018,school designation #111,1
136027,school designation #112,1
136036,school designation #113,1
136039,school designation #114,1
136040,school designation #115,1
136041,school designation #116,1
136044,school designation #117,1
136045,school designation #118,1
136049,school designation #119,1
136055,school designation #120,1
136056,school designation #121,1
136061,school designation #122,1
136065,school designation #123,1
136066,school designation #124,1
136067,school designation #125,1
136068,school designation #126,1
136069,school designation #127,1
136076,school designation #128,1
136089,school designation #129,1
136097,school designation #130,1
136119,school designation #131,1
136120,school designation #132,1
136127,school designation #133,1
136131,school designation #134,1
136135,school designation #135,1
136142,school designation #136,1
136143,school designation #137,1
136144,school designation #138,1
136145,school designation #139,1
136148,school designation #140,1
136152,school designation #141,1
136157,school designation #142,1
136158,school designation #143,1
136159,school designation #144,1
136162,school designation #145,1
136164,school designation #146,1
136165,school designation #147,1
136171,school designation #148,1
136172,school designation #149,1
136173,school designation #150,1
136174,school designation #151,1
136175,school designation #152,1
136176,school designation #153,1
136177,school designation #154,1
136178,school designation #155,1
136179,school designation #156,1
136180,school designation #157,1
136181,school designation #158,1
136182,school designation #159,1
136186,school designation #160,1
136190,school designation #161,1
136195,school designation #162,1
136196,school designation #163,1
136197,school designation #164,1
136198,school designation #165,1
136200,school designation #166,1
136203,school designation #167,1
136204,school designation #168,1
136205,school designation #169,1
136209,school designation #170,1
136225,school designation #171,1
136227,school designation #172,1
136229,school designation #173,1
136231,school designation #174,1
136233,school designation #175,1
136247,school designation #176,1
136248,school designation #177,1
136249,school designation #178,1
136258,school designation #179,1
136267,school designation #180,1
136277,school designation #181,1
136278,school designation #182,1
136286,school designation #183,1
136293,school designation #184,1
136295,school designation #185,1
136298,school designation #186,1
136300,school designation #187,1
136303,school designation #188,1
136305,school designation #189,1
136308,school designation #190,1
136314,school designation #191,1
136317,school designation #192,1
136326,school designation #193,1
136331,school designation #194,1
136333,school designation #195,1
136341,school designation #196,1
136342,school designation #197,1
136359,school designation #198,1
136362,school designation #199,1
136369,school designation #200,1
136375,school designation #201,1
136376,school designation #202,1
136380,school designation #203,1
136388,school designation #204,1
136389,school designation #205,1
136391,school designation #206,1
136395,school designation #207,1
136396,school designation #208,1
136402,school designation #209,1
136404,school designation #210,1
136408,school designation #211,1
136409,school designation #212,1
136410,school designation #213,1
136412,school designation #214,1
136413,school designation #215,1
136420,school designation #216,1
136421,school designation #217,1
136431,school designation #218,1
136442,school designation #219,1
136443,school designation #220,1
136454,school designation #221,1
136461,school designation #222,1
136463,school designation #223,1
136465,school designation #224,1
136469,school designation #225,1
136472,school designation #226,1
136476,school designation #227,1
136478,school designation #228,1
136484,school designation #229,1
136488,school designation #230,1
136490,school designation #231,1
136491,school designation #232,1
136501,school designation #233,1
136506,school designation #234,1
136508,school designation #235,1
136515,school designation #236,1
136530,school designation #237,1
136533,school designation #238,1
136534,school designation #239,1
136537,school designation #240,1
136538,school designation #241,1
136539,school designation #242,1
136544,school designation #243,1
136546,school designation #244,1
136547,school designation #245,1
136548,school designation #246,1
136549,school designation #247,1
136552,school designation #248,1
136554,school designation #249,1
136555,school designation #250,1
136556,school designation #251,1
136560,school designation #252,1
136561,school designation #253,1
136562,school designation #254,1
136566,school designation #255,1
136569,school designation #256,1
136570,school designation #257,1
136575,school designation #258,1
136578,school designation #259,1
136579,school designation #260,1
136580,school designation #261,1
136585,school designation #262,1
136588,school designation #263,1
136604,school designation #264,1
136605,school designation #265,1
136606,school designation #266,1
136607,school designation #267,1
136609,school designation #268,1
136610,school designation #269,1
136611,school designation #270,1
136613,school designation #271,1
136629,school designation #272,1
136634,school designation #273,1
136636,school designation #274,1
136641,school designation #275,1
136647,school designation #276,1
136650,school designation #277,1
136653,school designation #278,1
136656,school designation #279,1
136674,school designation #280,1
136685,school designation #281,1
136686,school designation #282,1
136687,school designation #283,1
136688,school designation #284,1
136689,school designation #285,1
136691,school designation #286,1
136711,school designation #287,1
136713,school designation #288,1
136729,school designation #289,1
136730,school designation #290,1
136732,school designation #291,1
136733,school designation #292,1
136734,school designation #293,1
136735,school designation #294,1
136740,school designation #295,1
136743,school designation #296,1
136746,school designation #297,1
136759,school designation #298,1
136762,school designation #299,1
136764,school designation #300,1
136765,school designation #301,1
136774,school designation #302,1
136778,school designation #303,1
136783,school designation #304,1
136807,school designation #305,1
136812,school designation #306,1
136815,school designation #307,1
136816,school designation #308,1
136823,school designation #309,1
136839,school designation #310,1
136846,school designation #311,1
136847,school designation #312,1
136858,school designation #313,1
136870,school designation #314,1
136875,school designation #315,1
136880,school designation #316,1
136883,school designation #317,1
136895,school designation #318,1
136896,school designation #319,1
136897,school designation #320,1
136917,school designation #321,1
136927,school designation #322,1
136933,school designation #323,1
136936,school designation #324,1
136939,school designation #325,1
136941,school designation #326,1
136945,school designation #327,1
136950,school designation #328,1
136954,school designation #329,1
136960,school designation #330,1
136961,school designation #331,1
136962,school designation #332,1
136974,school designation #333,1
136984,school designation #334,1
136986,school designation #335,1
136987,school designation #336,1
136989,school designation #337,1
136990,school designation #338,1
137021,school designation #339,1
137038,school designation #340,1
137040,school designation #341,1
137041,school designation #342,1
137045,school designation #343,1
137050,school designation #344,1
137052,school designation #345,1
137061,school designation #348,1
137065,school designation #349,1
137068,school designation #350,1
137070,school designation #351,1
137078,school designation #352,1
137080,school designation #353,1
137082,school designation #354,1
137103,school designation #355,1
137104,school designation #356,1
137105,school designation #357,1
137107,school designation #358,1
137128,school designation #359,1
137130,school designation #360,1
137138,school designation #361,1
137149,school designation #362,1
137150,school designation #363,1
137151,school designation #364,1
137152,school designation #365,1
137156,school designation #366,1
137159,school designation #367,1
137160,school designation #368,1
137165,school designation #369,1
137179,school designation #370,1
137182,school designation #371,1
137183,school designation #372,1
137185,school designation #373,1
137191,school designation #374,1
137193,school designation #375,1
137195,school designation #376,1
137196,school designation #377,1
137198,school designation #378,1
137199,school designation #379,1
137200,school designation #380,1
137201,school designation #381,1
137202,school designation #382,1
137204,school designation #383,1
137205,school designation #384,1
137206,school designation #385,1
137217,school designation #386,1
137220,school designation #387,1
137226,school designation #388,1
137230,school designation #389,1
137231,school designation #390,1
137236,school designation #391,1
137237,school designation #392,1
137240,school designation #393,1
137249,school designation #394,1
137252,school designation #395,1
137253,school designation #396,1
137256,school designation #397,1
137259,school designation #398,1
137261,school designation #399,1
137264,school designation #400,1
137266,school designation #401,1
137276,school designation #402,1
137292,school designation #403,1
137305,school designation #404,1
137313,school designation #405,1
137320,school designation #406,1
137324,school designation #407,1
137331,school designation #408,1
137343,school designation #409,1
137347,school designation #410,1
137349,school designation #411,1
137352,school designation #412,1
137354,school designation #413,1
137355,school designation #414,1
137358,school designation #415,1
137362,school designation #416,1
137372,school designation #417,1
137379,school designation #418,1
137380,school designation #419,1
137381,school designation #420,1
137389,school designation #421,1
137393,school designation #422,1
137408,school designation #423,1
137413,school designation #424,1
137417,school designation #425,1
137418,school designation #426,1
137419,school designation #427,1
137422,school designation #428,1
137423,school designation #429,1
137425,school designation #430,1
137429,school designation #431,1
137431,school designation #432,1
137432,school designation #433,1
137433,school designation #434,1
137436,school designation #435,1
137444,school designation #436,1
137453,school designation #437,1
137455,school designation #438,1
137457,school designation #439,1
137458,school designation #440,1
137459,school designation #441,1
137466,school designation #442,1
137469,school designation #443,1
137470,school designation #444,1
137472,school designation #445,1
137479,school designation #446,1
137480,school designation #447,1
137495,school designation #448,1
137501,school designation #449,1
137506,school designation #450,1
137507,school designation #451,1
137509,school designation #452,1
137519,school designation #453,1
137534,school designation #454,1
137542,school designation #455,1
137550,school designation #456,1
137561,school designation #457,1
137564,school designation #458,1
137571,school designation #459,1
137589,school designation #460,1
137593,school designation #461,1
137597,school designation #462,1
137598,school designation #463,1
137599,school designation #464,1
137600,school designation #465,1
137601,school designation #466,1
137605,school designation #467,1
137609,school designation #468,1
137611,school designation #469,1
137612,school designation #470,1
137616,school designation #471,1
137620,school designation #472,1
137623,school designation #473,1
137628,school designation #474,1
137630,school designation #475,1
137640,school designation #476,1
137641,school designation #477,1
137642,school designation #478,1
137643,school designation #479,1
137646,school designation #480,1
137649,school designation #481,1
137651,school designation #482,1
137654,school designation #483,1
137655,school designation #484,1
137656,school designation #485,1
137658,school designation #486,1
137660,school designation #487,1
137661,school designation #488,1
137662,school designation #489,1
137663,school designation #490,1
137664,school designation #491,1
137665,school designation #492,1
137666,school designation #493,1
137668,school designation #494,1
137670,school designation #495,1
137672,school designation #496,1
137674,school designation #497,1
137678,school designation #498,1
137679,school designation #499,1
137689,school designation #500,1
137690,school designation #501,1
137691,school designation #502,1
137694,school designation #503,1
137700,school designation #504,1
137710,school designation #505,1
137720,school designation #506,1
137730,school designation #507,1
137731,school designation #508,1
137738,school designation #509,1
137746,school designation #510,1
137750,school designation #511,1
137752,school designation #512,1
137753,school designation #513,1
137754,school designation #514,1
137755,school designation #515,1
137756,school designation #516,1
137762,school designation #517,1
137763,school designation #518,1
137764,school designation #519,1
137766,school designation #520,1
137771,school designation #521,1
137772,school designation #522,1
137775,school designation #523,1
137779,school designation #524,1
137782,school designation #525,1
137787,school designation #526,1
137788,school designation #527,1
137789,school designation #528,1
137795,school designation #529,1
137804,school designation #530,1
137806,school designation #531,1
137811,school designation #532,1
137812,school designation #533,1
137813,school designation #534,1
137814,school designation #535,1
137815,school designation #536,1
137816,school designation #537,1
137822,school designation #538,1
137830,school designation #539,1
137934,school designation #540,1
137936,school designation #541,1
137937,school designation #542,1
137938,school designation #543,1
137939,school designation #544,1
137940,school designation #545,1
137956,school designation #546,1
137958,school designation #547,1
137959,school designation #548,1
137969,school designation #549,1
137975,school designation #550,1
137979,school designation #551,1
137981,school designation #552,1
137987,school designation #553,1
137990,school designation #554,1
137995,school designation #555,1
138004,school designation #556,1
138006,school designation #557,1
138008,school designation #558,1
138009,school designation #559,1
138010,school designation #560,1
138014,school designation #561,1
138021,school designation #562,1
138023,school designation #563,1
138026,school designation #564,1
138027,school designation #565,1
138028,school designation #566,1
138029,school designation #567,1
138032,school designation #568,1
138033,school designation #569,1
138034,school designation #570,1
138043,school designation #571,1
138046,school designation #572,1
138055,school designation #573,1
138057,school designation #574,1
138064,school designation #575,1
138065,school designation #576,1
138066,school designation #577,1
138069,school designation #578,1
138070,school designation #579,1
138095,school designation #580,1
138097,school designation #581,1
138098,school designation #582,1
138102,school designation #583,1
138104,school designation #584,1
138108,school designation #585,1
138114,school designation #586,1
138126,school designation #587,1
138127,school designation #588,1
138128,school designation #589,1
138131,school designation #590,1
138132,school designation #591,1
138134,school designation #592,1
138136,school designation #593,1
138139,school designation #594,1
138141,school designation #595,1
138144,school designation #596,1
138151,school designation #597,1
138158,school designation #598,1
138187,school designation #601,1
138188,school designation #602,1
138192,school designation #603,1
138205,school designation #604,1
138208,school designation #605,1
138210,school designation #606,1
138212,school designation #607,1
138214,school designation #608,1
138216,school designation #609,1
138223,school designation #610,1
138230,school designation #611,1
138233,school designation #612,1
138239,school designation #613,1
138248,school designation #614,1
138250,school designation #615,1
138251,school designation #616,1
138253,school designation #617,1
138255,school designation #618,1
138256,school designation #619,1
138258,school designation #620,1
138262,school designation #621,1
138265,school designation #622,1
138269,school designation #623,1
138270,school designation #624,1
138272,school designation #625,1
138273,school designation #626,1
138275,school designation #627,1
138280,school designation #628,1
138281,school designation #629,1
138282,school designation #630,1
138284,school designation #631,1
138285,school designation #632,1
138286,school designation #633,1
138289,school designation #634,1
141935,school designation #635,1
156719,school designation #636,1
169671,school designation #637,1
169672,school designation #638,1
169674,school designation #639,1
169675,school designation #640,1
169679,school designation #641,1
169687,school designation #642,1
169692,school designation #643,1
169693,school designation #644,1
169698,school designation #645,1
169699,school designation #646,1
169708,school designation #647,1
169722,school designation #648,1
169725,school designation #649,1
170352,school designation #650,1
170353,school designation #651,1
170354,school designation #652,1
170355,school designation #653,1
170356,school designation #654,1
173565,school designation #655,1
179539,school designation #656,1
185141,school designation #657,1
186580,school designation #658,1
189429,school designation #659,1
207859,school designation #660,1
208208,school designation #661,1
208498,school designation #662,1
214020,school designation #663,1
214139,school designation #664,1
215539,school designation #665,1
221998,school designation #666,1
229367,school designation #667,1
229421,school designation #668,1
229470,school designation #669,1
229471,school designation #670,1
229474,school designation #671,1
229486,school designation #672,1
229487,school designation #673,1
229582,school designation #674,1
229583,school designation #675,1
229603,school designation #676,1
229604,school designation #677,1
229838,school designation #678,1
231581,school designation #679,1
241718,school designation #680,1
249749,school designation #681,1
284976,school designation #682,1
285042,school designation #683,1
285097,school designation #684,1
285177,school designation #685,1
285179,school designation #686,1
285222,school designation #687,1
285265,school designation #688,1
285269,school designation #689,1
285276,school designation #690,1
392518,school designation #691,1
392989,school designation #692,1
395536,school designation #693,1
401470,school designation #694,1
401789,school designation #695,1
402818,school designation #696,1
402879,school designation #697,1
422980,school designation #698,1
432988,school designation #699,1
434918,school designation #700,1
440417,school designation #701,1
440902,school designation #702,1
440905,school designation #703,1
443724,school designation #704,1
